id,carId,price,gallons,miles,notes,created,,
88,1,22.77,9.821,480.6,TIRE PRESSURE LOW,2017-11-29,,
89,1,17.74,8.067,384.1,changed tires,2017-12-21,,
90,1,16.09,7.351,360.6,NULL,2017-12-30,,
91,1,16.31,7.487,370.5,NULL,2018-01-14,,
92,1,18.53,8.059,394.2,tire puncture,2018-02-04,,
93,1,18.75,8.566,408.3,NULL,2018-02-25,,
94,1,19.1,8.609,427,NULL,2018-03-10,,
95,1,19.22,8.044,420.2,NULL,2018-04-04,,
96,1,16.49,6.735,336.6,NULL,2018-04-29,,
97,1,24.47,9.562,475.3,NULL,2018-05-12,,
98,1,17.23,6.455,314,NULL,2018-05-27,,
99,1,23.06,8.739,448.2,NULL,2018-06-09,,
100,1,22.87,8.699,457.9,NULL,2018-06-24,,
101,1,10.04,3.654,188.5,NULL,2018-06-30,,
102,1,25.36,8.572,389.5,Drove to Navajo,2018-07-03,,
103,1,23.64,9.095,436,Drove to mountains,2018-07-15,,
104,1,16.98,6.663,344.4,NULL,2018-07-28,,
105,1,25.04,9.348,476.4,Drove to mountains,2018-08-09,,
106,1,24.7,9.54,463.1,NULL,2018-08-18,,
107,1,13.05,5.023,265.6,NULL,2018-08-26,,
108,1,19.41,7.113,368.4,NULL,2018-09-23,,
109,1,22.01,7.979,403,NULL,2018-09-30,,
110,1,27.54,9.666,475.3,NULL,2018-10-13,,
111,1,21.87,8.103,399.2,NULL,2018-10-27,,
112,1,18.3,8.101,361.7,winter tires,2018-11-25,,
113,1,17.37,8.275,396,NULL,2018-12-09,,
114,1,16.27,8.303,406.8,NULL,2018-12-28,,
115,1,17.05,9.17,432.4,NULL,2019-01-14,,
116,1,18.87,9.936,439.8,E15 gas,2019-02-08,,
117,1,12.33,6.635,338.5,NULL,2019-02-16,,
118,1,16.91,8.547,414.2,NULL,2019-03-03,,
119,1,21.91,9.408,436.1,NULL,2019-04-02,,
120,1,22.37,8.952,442.5,NULL,2019-05-05,,
121,1,20.24,7.878,393.9,NULL,2019-05-19,,
122,1,21.54,8.417,409.9,NULL,2019-05-28,,
123,1,24.49,9.352,462.8,NULL,2019-06-24,,
124,1,27.22,9.137,438.9,NULL,2019-07-27,,
125,1,22.1,10.141,410.7,Guernsey,2019-08-18,,
126,1,30.39,9.561,318.4,NULL,2019-10-06,,127
127,2,26.05,9.111,330.9,NULL,2019-10-06,,
128,2,24.96,8.465,293.7,NULL,2019-10-06,,
129,2,29.34,10.117,331.2,NULL,2019-10-15,,
130,2,31.4,10.649,313.9,NULL,2019-11-03,,
131,2,20.88,7.106,239.3,NULL,2019-11-10,,
132,2,20.14,6.692,206.1,NULL,2019-11-17,,
133,2,17.18,5.709,171.5,NULL,2019-11-24,,
134,2,16.85,5.617,174.1,NULL,2019-11-30,,
135,2,24.53,8.18,248.8,NULL,2019-12-08,,
136,2,28.35,9.951,307.3,NULL,2019-12-17,,
137,2,17.05,5.963,188.6,NULL,2019-12-22,,
138,2,17.54,6.266,203,NULL,2019-12-26,,
139,2,19.42,6.071,214.8,Drove to Del Norte,2019-12-28,,
140,2,26.75,9.695,370.1,Drove to Del Norte ,2020-01-02,,
141,2,29.61,10.969,331.1,NULL,2020-01-12,,
142,2,23.05,8.667,290.5,NULL,2020-01-20,,
143,2,16.58,6.258,191.8,NULL,2020-01-26,,
144,2,24.96,9.793,295,NULL,2020-02-02,,
145,2,24.84,9.669,294.1,NULL,2020-02-16,,
146,2,24.83,9.74,304.3,NULL,2020-02-27,,
147,2,11.71,6.656,205.1,NULL,2020-03-16,,
148,2,13.9,7.093,222.5,NULL,2020-03-25,,
149,2,10.74,5.48,168,NULL,2020-03-30,,
150,2,16.52,10.016,334.1,NULL,2020-04-18,,
151,2,7.95,5.002,159.8,NULL,2020-05-02,,
152,2,13.79,7.706,259.8,NULL,2020-05-14,,
153,2,22.89,9.705,366.5,Utah,2020-05-15,,
154,2,4.55,2.696,92.8,NULL,2020-05-17,,
155,2,15.67,8.566,357.7,Utah drive,2020-05-18,,
156,2,11.19,5.486,198.1,NULL,2020-05-23,,
157,2,14.47,4.991,186.7,NULL,2020-05-29,,
158,2,28.45,10.948,171.9,Track day,2020-05-29,,
159,2,21.9,9.204,322.5,NULL,2020-06-07,,
160,2,22.11,7.627,238.6,NULL,2020-06-25,,
161,2,19.84,7.351,158.3,Track day ,2020-06-28,,
162,2,31.58,10.195,318.5,NULL,2020-07-13,,
163,2,23.12,8.695,271.4,NULL,2020-07-26,,
164,2,24.29,9,288.9,NULL,2020-08-05,,
165,2,27.08,10.584,328.2,NULL,2020-08-22,,
166,2,19.62,7.759,271.4,NULL,2020-09-12,,
167,2,17.47,6.714,220.2,NULL,2020-09-29,,
168,2,12.28,4.55,141,NULL,2020-10-09,,
169,2,20.46,7.58,102,NULL,2020-10-09,,
170,2,21.34,8.933,313.7,NULL,2020-10-14,,
171,2,18,7.966,246.5,NULL,2020-11-02,,
172,2,20.29,9.227,297.8,NULL,2020-11-13,,
173,2,16.81,6.323,92.8,Track day,2020-11-15,,
174,2,17.45,6.562,225.3,NULL,2020-11-21,,
175,2,12.63,4.75,74.5,Track day,2020-11-21,,
176,2,15.27,7.141,223.6,NULL,2020-11-29,,
177,2,20.38,8.863,278.3,NULL,2020-12-08,,
178,2,12.65,5.407,177.4,NULL,2020-12-13,,
179,2,25.11,10.689,381.2,NULL,2020-12-20,,
180,2,26.37,10.636,372.1,NULL,2021-01-04,,
181,2,19.54,7.916,240.1,NULL,2021-01-24,,
182,2,20.25,8.104,266.1,NULL,2021-02-07,,
183,2,22.16,8.21,237.9,New tires (low psi),2021-02-21,,
184,2,24.06,7.384,260,Drove to mountains,2021-02-27,,
185,2,25.7,8.895,300.3,NULL,2021-03-07,,
186,2,29.46,9.662,310.2,NULL,2021-03-21,,
187,2,31.79,10.427,322.1,NULL,2021-04-05,,
188,2,41.1,12.393,378.1,NULL,2021-05-07,,
189,2,28.47,8.929,280.4,NULL,2021-05-16,,
190,2,36.73,11.133,307.8,NULL,2021-06-13,,
191,2,11.26,3.414,104.5,NULL,2021-06-20,,
192,2,30.39,7.599,221.9,NULL,2021-07-10,,
193,2,39.11,10.461,370,NULL,2021-07-17,,
194,2,47.59,12.539,434.2,NULL,2021-07-27,,
195,2,27.88,7.339,216,NULL,2021-08-08,,
196,2,25.94,6.829,197.6,NULL,2021-08-22,,
197,2,27.47,7.347,220.1,NULL,2021-09-05,,
198,2,35.77,10.107,318.4,NULL,2021-09-18,,
199,2,37.45,10.826,330.6,NULL,2021-10-08,,
200,2,33.79,9.769,287.3,NULL,2021-10-28,,
201,2,39.85,11.43,345.7,NULL,2021-11-16,,
202,2,32.71,10.355,287.7,NULL,2021-12-16,,
203,2,22.24,7.176,237.3,NULL,2021-12-23,,
204,2,25.4,5.749,186.7,NULL,2021-12-25,,
205,2,20.79,5.857,214,NULL,2021-12-25,,
206,2,29.14,8.143,294.5,Drive to lovington,2021-12-27,,
207,2,22.54,5.981,211.2,NULL,2021-12-28,,
208,2,38.67,11.89,406.9,NULL,2021-12-30,,
209,2,30.88,9.446,278.5,NULL,2022-01-13,,
210,2,23,7,207,NULL,2022-01-28,,
211,2,35,9,338,NULL,2022-01-30,,
214,2,45.11,12.4,344.6,NULL,2022-03-04,,
215,2,38.27,9.113,268.4,NULL,2022-03-18,,
216,2,32.11,7.703,245.4,NULL,2022-03-26,,
217,2,53.51,12.69,405.4,NULL,2022-04-17,,
218,2,49.61,11.854,359.7,NULL,2022-05-12,,
219,2,40.66,8.9,263.1,NULL,2022-06-02,,
220,2,41.92,8.221,255.9,NULL,2022-06-16,,
221,2,53.88,10.567,329.5,NULL,2022-06-30,,
222,2,45.16,9.651,302,NULL,2022-07-28,,
223,2,23.89,4.978,133,NULL,2022-08-04,,
224,2,26.11,6.277,210.5,NULL,2022-08-11,,
225,2,26.31,6.497,203.6,NULL,2022-08-25,,
226,2,15.48,3.951,124.8,NULL,2022-09-01,,
227,2,44.18,10.943,344.1,NULL,2022-09-29,,
228,2,40.62,10.835,323.3,NULL,2022-10-20,,
229,2,38.79,11.119,313.5,NULL,2022-11-17,,
230,2,20.14,5.961,169.8,NULL,2022-11-26,,
231,2,30.63,9.885,279.1,NULL,2022-12-11,,
232,2,15.49,5.131,151.3,NULL,2022-12-18,,
233,2,15.49,5.131,151.3,NULL,2022-12-18,,
234,2,33.84,10.78,282.2,,2023-01-07,,
240,2,35.71,10.006,281.2,,2023-04-30,,
241,2,27.39,8.329,226.7,,2023-05-20,,
242,2,33.08,9.066,283,,2023-06-18,,
243,2,21.76,5.962,185.8,,2023-06-25,,
244,2,24.64,6.385,198.1,,2023-07-09,,
245,2,43.66,10.917,332,,2023-07-30,,
246,2,25.5,6.131,198.2,,2023-08-13,,
247,2,35.37,8.363,294,Drove to mountains,2023-08-20,,
248,2,43.61,10.639,318.5,,2023-09-20,,
249,2,21.43,5.642,193.2,,2023-09-24,,
250,2,37.2,10.54,307,,2023-10-15,,
251,2,31.48,9.84,288.4,,2023-11-12,,
252,2,27.05,9.021,271.2,,2023-12-03,,
253,2,14.79,5.211,149.3,,2023-12-10,,
254,4,25.76,9.203,202,,2023-12-15,,
255,4,17.01,6.077,159.4,,2023-12-17,,
256,4,26.6,9.175,225.4,,2023-12-21,,
257,4,11.88,4.157,95.2,,2023-12-24,,
258,4,26.53,9.216,214.6,,2023-12-31,,
236,2,52.22,11.747,323.7,,2023-02-24,,
237,2,35.62,8.523,235.2,,2023-03-10,,
238,2,38.48,10.182,300.4,,2023-03-27,,
239,2,34.05,9.732,297,,2023-04-10,,
259,4,27.69,9.824,227.9,,2024-01-07,,
